10159-M4142889,4555,47.78,47.78,2,1,1,5,230000000,4.6461291249,-74.0769481659,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-santa-marta-perez-davila-1-habitaciones-2-banos-1-garajes/10159-M4142889,"COD 6170FR381 El apartaestudio está ubicado en un sector residencial, cerca de la avenida libertador, con excelentes vías de acceso facilitando la movilidad al transporte público, almacenes de cadena, escenarios deportivos, clínicas, sector mercado. El edificio ofrece una terraza espectacular con vista a la montaña y a la ciudad, tiene piscina, gimnasio, sauna, parque infantil, zona de BBQ, cuenta con sala de espera, salón social, vigilancia veinticuatro horas con circuito cerrado, ascensor, parqueadero de visitantes, tiene once pisos y un conjunto de ochenta apartamentos.",
10858-M4432289,5015,129.28,129.28,2,3,1,4,540000000,4.6455151,-74.0724593,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-san-luis-3-habitaciones-2-banos-1-garajes/10858-M4432289,"NEGOCIABLE!!! Rentahouse vende amplio apartamento de 129 m2, excelente ubicacion, remodelado, esquinero con entrada de luz natural en todo el apartamento. Consta de 3 alcobas , la principal con bano privado. Bano auxiliar completo e iluminado. Tiene hab. de servicio con su bano de servicio. Salon Comedor con vista exterior. Cocina cerrada totalmente remodelada. comedor cocina y zona de ropas.",
10858-M4432275,5015,735,735,,,0,3,3500000000,4.66940214,-74.14572112,Venta,Edificio de Oficinas,https://www.metrocuadrado.com/inmueble/venta-edificio-de-oficinas-bogota-centro-fontibon/10858-M4432275,"Edificio esquinero de 4 pisos ,ideal para actividades fabrilesmanufactura,que a su vez cuenta con areas comerciales rentando y espacios habitacionales como son dos apartamentos, uno en el cuarto piso amplio y comodo;otro apartamento con entrada independiente de 2 alcobas y terraza.Su ubicacion es apropiada, ya que se encuentra en una zona estrategica y de facil acceso. EXCELENTE para inversión",
156-M3369375,4040,75,75,2,3,1,4,330000000,4.722988605499268,-74.02583312988281,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-bosque-de-pinos-3-habitaciones-2-banos-1-garajes/156-M3369375,"Muy buen Apto de 75 mts, piso 3...tres alcobas amplias con closets, Sala comedor, cocina tipo lineal, dos baños completos, parqueadero propio cubierto, depósito, ascensor, portería 24/7, administración $320.000, estrato 4, salón social,28 años, excelente ubicación, e iluminación,...$330 millones...SE RECIBEN TODO TIPO DE CREDITOS- INFORMES- MARIEL HERNANDEZ NIETO- TRES TRECE TRES CUARENTA Y DOS OCHENTA Y SIETE VEINTIUNO",
156-M2015224,4040,70,70,2,2,1,6,550000000,4.680503845214844,-74.04170227050781,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-chico-norte-ii-2-habitaciones-2-banos-1-garajes/156-M2015224,"Apartamento de 70 Mts con 100 metros de terraza propios, dos habitaciones amplias con closet, vestier, cocina integral, estudio, 1 parqueadero amplio, pisos en cerámica, alcobas en madera laminado, en general en muy buen estado, al lado del World Tride Center, apto para vivienda u oficina. Edificio con lavanderia comunal SE RECIBEN TODO TIPO DE CRÉDITOS -CEL. 313.u342j.87.i21",
156-M3350075,4040,410,410,5,5,1,3,700000000,4.6121931076049805,-74.14525604248047,Venta,Casa,https://www.metrocuadrado.com/inmueble/venta-casa-bogota-carvajal-5-habitaciones-5-banos-1-garajes/156-M3350075,"Casa esquinera RENTABLE...de 14 mts de frente por 10 mts de fondo ,con tres niveles. estrato 3, 32 años, a 5 cuadras de la Av primera de mayo y AV Boyacá .410 mts de área construida .piso 3 con cubiertas, ventanales frente Y lados.1 contador de agua,2 contadores de gas,3 contadores de luz,1parabolica local,1 garaje ,NIVEL 1.Apto grande de tres alcobas amplias con closets,sala comedor,cocina, baño y patio,Apartaestudio de dos alcobas con closets cocina , bañó,Entrada totalmente independiente.NIVEL 2Apto grande recién remodelado de tres alcobas amplias con closets, sala comedor,cocina, bañó, patio de ropas, Apartaestudio de dos habitaciones con closets,cocineta, baño y patio NIVEL 3 Apto grande de tres alcobas amplias con closets,sala comedor, cocina, baño,y patio de ropa,,,, Apartaestudio de una alcoba,sala comedor,cocineta y baño,y patio cubierto ,renta $5.500.000,para construir se da autorización hasta 6 pisos $ 700Millones-INF-TRES TRECE TRES CUARENTA Y DOS OCHENTA Y SIETE VEINTIUNO.",
156-M2617329,4040,245,245,4,4,2,6,1550000000,4.6900954246521,-74.05353546142578,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-santa-bibiana-4-habitaciones-4-banos-2-garajes/156-M2617329,"Espectacular apartamento en chico navarra de 245 M2 ,vista exterior al parque ,hall de entrada ascensor privado ,puerta blindada ,pisos en mármol y en las alcobas en madera ,20 años de construido ,4 alcobas 2 con baño privado , la alcoba principal con baño jacuzzi y el vestier amplio. 4 baños en total , 2 balcones ,dos salas una se puede adaptar como estudio  tiene balcón y chimenea ,comedor independiente,cocina con comedor auxiliar,zona de ropas con closet de linos cuarto y baño de servicio , dos parqueaderos en linea ,depósito .El edificio cuenta con lobby ,seguridad 24-7 ,son 16 apartamentos , cancha de squash ,salón comunal ,sauna -turco ,GYM ,parque infantil ,parqueaderos para visitantes .Administración  $1.250.000 precio de venta $ 1.550 millones negociables SE ACEPTAN TODO TIPO DE CREDITOS -INF MARIEL HERNANDEZ TRES TRECE TRES CUARENTA Y DOS  OCHENTA Y SIETE VEINTIUNO. ",
156-M2087204,4040,360,360,5,5,1,3,650000000,4.731410980224609,-74.088623046875,Venta,Casa,https://www.metrocuadrado.com/inmueble/venta-casa-bogota-villa-elisa-5-habitaciones-5-banos-1-garajes/156-M2087204,"Casa-bodega a una cuadra de la cra 91 con aures, 3 niveles, primer nivel consta de bodega de 7x15 con mezanine, baño y oficina, segundo nivel 2 apartamentos independientes uno con una alcoba cocina y baño y el otro con dos alcobas, cocina y baño, tercer nivel un apartamento de dos alcobas, cocina y baño, y 1 alcoba independiente con baño. Cuarto nivel...apartamento de tres alcobas, sala comedor ,cocina y baño.....terraza..$650 Millones. Excelente ubicación. inf..tres trece tres cuarenta y dos, ochenta y siete veintiuno .MARIEL HERNANDEZ .excelente ubicacion.",
156-M2396696,4040,420,420,4,4,4,5,1100000000,4.712366104125977,-74.07683563232422,Venta,Casa,https://www.metrocuadrado.com/inmueble/venta-casa-bogota-niza-norte-4-habitaciones-4-banos-4-garajes/156-M2396696,"Excelente casa de 2 niveles en el barrio Niza norte . 9.90 de frente por 30 de fondo . Primer nivel  tres garajes descubiertos y uno cubierto sala comedor independientes estudio amplio con chimenea, sala con chimenea, cuarto y baño de servicio, baño social 2 zonas de ropas, cocina tipo cuadrado con bastante iluminación  patio o zona verde con fuente de agua natural . Segundo nivel cuatro alcobas amplias cada una con su closet, baño social y estudio amplio . se pude colocar oficinas a puerta cerrada , apta para hogar geriátrico , o jardín infantil , muy buena ubicación y vías de acceso . se aceptan permutas . INF MARIEL HERNANDEZ -TRES TRECE TRES CUARENTA Y DOS OCHENTA Y SIETE VEINTIUNO",
156-M3472377,4040,60,60,2,3,1,3,250000000,4.750530242919922,-74.08152770996094,Venta,Apartamento,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-salitre-i-3-habitaciones-2-banos-1-garajes/156-M3472377,"Hermoso apartamento, segundo piso exterior e interior...de 60 mts de área, con muy buena vista e iluminación, totalmente remodelado con terminados de lujo, parqueadero propio,consta de tres alcobas amplias con closets, Dos baños completos, administración $191.000, antigüedad 12 años, estrato 3, conjunto cerrado vigilancia 24/7,muy buenas rutas alimentadoras,cerca al caí del Pinar...$250 millones SE RECIBEN TODO TIPO DE CRÉDITOS -INF MARIEL HERNANDEZ- TRES TRECE TRES CUARENTA Y DOS OCHENTA Y SIETE VEINTIUNO.",
